Title,Summary,Publication Date,Source,URL
Taylor's NFL coverage make other player's wife jealous?,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/entertainment/english/music/news/wife-of-rams-quarterback-kelly-stafford-expresses-she-was-tired-of-taylor-swift-being-the-focus-at-the-chiefs-games/articleshow/114870733.cms
Selena reacts to a fan's request to chant 'Jai Shri Ram',No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/watch-selena-gomez-reacts-to-an-indian-fans-request-to-chant-jai-shri-ram-in-a-viral-video/articleshow/114866997.cms
Singham Again Movie Review: 3.5/5,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/singham-again/movie-review/114840778.cms
Bhool Bhulaiyaa 3 Movie Review: 3.5/5,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/bhool-bhulaiyaa-3/movie-review/114837280.cms
Surbhi gives a glimpse of her 1st Diwali celebration with hubby,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/tv/news/hindi/newlywed-surbhi-jyoti-gives-a-glimpse-of-her-first-diwali-celebration-with-hubby-sumit-suri-see-post/articleshow/114872517.cms
Trouble Mounts for Sean Combs As US Prosecutors Reject Leak Video Claims | Watch,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/videos/entertainment/english/trouble-mounts-for-sean-combs-as-us-prosecutors-reject-leak-video-claims-watch/videoshow/114844863.cms
Trouble Mounts for Sean Combs As US Prosecutors Reject Leak Video Claims | Watch,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/videos/entertainment/english/trouble-mounts-for-sean-combs-as-us-prosecutors-reject-leak-video-claims-watch/videoshow/114844863.cms
Several WWE superstars make unexpected exits from the company,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/sports/wwe
"""Yeah, 100 percent"": Lamar Jackson returns to practice, confident and ready to lead Ravens against Broncos this weekend",No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/sports/nfl
Waqf land row: Karnataka BJP to launch statewide stir on Nov 4,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/city/bengaluru/bjp-to-protest-against-waqf-land-transfer-fraud-on-november-4/articleshow/114825178.cms
Classified Information Leaked From Israeli PMO | 'Gaza War Goals...',No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/videos/international/classified-information-leaked-from-israeli-pmo-gaza-war-goals-/videoshow/114867737.cms
Classified Information Leaked From Israeli PMO | 'Gaza War Goals...',No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/videos/international/classified-information-leaked-from-israeli-pmo-gaza-war-goals-/videoshow/114867737.cms
"3rd Test Live: Sodhi gives NZ a big breakthrough, Pant falls for 60",No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/sports/cricket/india-vs-new-zealand-live-score-3rd-test-day-2-today-ind-vs-nz-match-updates-virat-kohli-rohit-sharma/liveblog/114865507.cms
IPL Retentions: Most franchises to go captain-hunting in auction,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-retentions-most-franchises-to-go-captain-hunting-in-auction/articleshow/114866954.cms
"Mayank Yadav's impact was deciding factor, not his injuries: LSG",No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/mayank-yadavs-impact-was-deciding-factor-not-his-injuries-lucknow-super-giants/articleshow/114867426.cms
"Elon Musk's X may announce another round of job cuts, this division expected to be affected",No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/technology/tech-news/elon-musks-x-may-announce-another-round-of-job-cuts-this-division-expected-to-be-affected/articleshow/114871874.cms
Booking a train ticket? New Indian Railways train ticket reservation rules effective from November 1 - check details,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/business/india-business/booking-a-train-ticket-new-indian-railways-train-ticket-reservation-rules-in-effect-from-november-1-check-details/articleshow/114871517.cms
Social media sensation 'Peanut the Squirrel' euthanized for rabies testing,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/world/us/social-media-sensation-peanut-the-squirrel-euthanized-for-rabies-testing/articleshow/114867251.cms
"CBSE Exam Day Guidelines 2024: Dos & Don'ts, Reporting Time, Admit Card Link and More",No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/education/news/cbse-exam-day-guidelines-2024-dos-donts-reporting-time-and-more/articleshow/107682638.cms
5 simple home remedies to cure sore throat amid pollution,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/life-style/food-news/top-5-home-remedies-to-relieve-sore-throat-caused-by-pollution/articleshow/114860124.cms
​Can yoga control cholesterol? 5 yogas that are believed to do so​,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/fitness/can-yoga-control-cholesterol-5-yogas-that-are-believed-to-do-so/photostory/114844063.cms
"Car, SUV sales Oct 2024: Maruti Suzuki leads with over 2 lakh units, but who all follow?",No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/auto/cars/car-suv-sales-oct-2024-maruti-suzuki-leads-with-over-2-lakh-units-but-who-all-follow/articleshow/114853211.cms
Maha TET 2024 admit card released: Check direct link here,No summary available,2024-11-02,Times of India,https://timesofindia.indiatimes.com/education/news/maha-tet-2024-admit-card-released-check-direct-link-here/articleshow/114868957.cms
